"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"U7","SO8","104.267mm","75.692mm","104.267mm","75.692mm","106.172mm","73.242mm","B","90.00","M24M02"
"U6","16SOIC","92.329mm","68.072mm","92.329mm","68.072mm","87.884mm","70.597mm","B","270.00","ULN2003ADR"
"U5","8MSOP","102.108mm","66.294mm","102.108mm","66.294mm","100.033mm","65.319mm","B","360.00","AD8217BRMZ-R7"
"U4","QFN40","94.488mm","93.091mm","94.488mm","93.091mm","96.738mm","96.116mm","T","270.00","CC2530F256"
"U3","WSON6","117.305mm","76.82mm","117.305mm","76.82mm","116.205mm","76.17mm","B","360.00","TPS61240DRVT"
"U2","DFN8","123.317mm","69.469mm","123.317mm","69.469mm","122.567mm","70.969mm","B","270.00","STC3100"
"U1","6SON","109.205mm","68.58mm","109.205mm","68.58mm","109.755mm","69.08mm","B","180.00","TPS62730"
"S2","EVQP2402W","100.686mm","84.278mm","100.711mm","84.328mm","99.961mm","81.703mm","T","90.00","Button"
"S1","EVQP2402W","100.686mm","84.251mm","100.711mm","84.201mm","99.961mm","86.826mm","B","270.00","Button"
"RT1","0603","89.408mm","75.565mm","89.408mm","75.565mm","90.183mm","75.565mm","B","180.00","Thermistor"
"R23","0603","90.17mm","77.597mm","90.17mm","77.597mm","90.17mm","76.822mm","B","90.00","Resistor"
"R22","0603","102.108mm","90.551mm","102.108mm","90.551mm","102.108mm","89.776mm","B","90.00","Resister"
"R21","0603","102.108mm","95.631mm","102.108mm","95.631mm","102.108mm","96.406mm","B","270.00","Resister"
"R20","0402","97.917mm","83.058mm","97.917mm","83.058mm","97.917mm","82.558mm","T","90.00","Resistor"
"R19","0402","96.012mm","100.076mm","96.012mm","100.076mm","95.512mm","100.076mm","T","360.00","Blob"
"R18","0402","87.884mm","94.869mm","87.884mm","94.869mm","87.884mm","95.369mm","B","270.00","Blob"
"R17","0402","97.409mm","81.026mm","97.409mm","81.026mm","97.909mm","81.026mm","B","180.00","Resistor"
"R16","0402","96.901mm","85.598mm","96.901mm","85.598mm","96.901mm","86.098mm","T","270.00","Resistor"
"R15","0402","91.186mm","72.771mm","91.186mm","72.771mm","91.686mm","72.771mm","B","180.00","Resistor"
"R14","0402","92.456mm","75.184mm","92.456mm","75.184mm","92.956mm","75.184mm","B","180.00","Resistor"
"R13","0402","94.742mm","75.184mm","94.742mm","75.184mm","94.242mm","75.184mm","B","360.00","Resistor"
"R12","0402","96.012mm","72.771mm","96.012mm","72.771mm","95.512mm","72.771mm","B","360.00","Resistor"
"R11","0402","100.965mm","75.946mm","100.965mm","75.946mm","100.965mm","75.446mm","B","90.00","Resistor"
"R10","0402","100.965mm","78.105mm","100.965mm","78.105mm","100.965mm","78.605mm","B","270.00","Resistor"
"R9","0402","102.108mm","63.881mm","102.108mm","63.881mm","102.608mm","63.881mm","B","180.00","Resistor"
"R8","0402","87.503mm","83.058mm","87.503mm","83.058mm","88.003mm","83.058mm","T","180.00","Blob"
"R7","0402","117.694mm","79.36mm","117.694mm","79.36mm","118.194mm","79.36mm","B","180.00","Resistor"
"R6","0402","121.666mm","65.913mm","121.666mm","65.913mm","121.666mm","65.413mm","B","90.00","Resistor"
"R5","6-0805_L","120.396mm","69.977mm","120.396mm","69.977mm","120.396mm","70.777mm","B","270.00","Resistor"
"R4","0603","124.841mm","65.151mm","124.841mm","65.151mm","124.066mm","65.151mm","B","360.00","Resistor"
"R3","0402","111.379mm","66.294mm","111.379mm","66.294mm","111.379mm","66.794mm","B","270.00","Resistor"
"R2","0402","109.22mm","72.771mm","109.22mm","72.771mm","108.72mm","72.771mm","B","360.00","Resistor"
"R1","0402","116.205mm","66.167mm","116.205mm","66.167mm","116.205mm","66.667mm","B","270.00","Blob"
