Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

U6         16SOIC              132.588mm       60.96mm     132.588mm       60.96mm     128.143mm      58.435mm  T         90.00 ULN2003ADR     
A1         F_ant                76.708mm      99.949mm      77.597mm      99.822mm      77.851mm     100.076mm  T        360.00 ANT            
B1         2450BM15A0002       78.7525mm      96.139mm       78.74mm      96.139mm       77.84mm      96.789mm  T          0.00 BALUN          
BQ1        FC-12M               71.755mm       91.44mm      71.755mm       91.44mm      71.755mm      92.265mm  T        270.00 Crystal        
BQ2        403C11A32M00000      82.244mm     96.2015mm      82.169mm      96.139mm      83.294mm      96.939mm  T        180.00 Crystal        
C1         0402                103.886mm      70.231mm     103.886mm      70.231mm     103.886mm      69.731mm  T         90.00 Capacitor      
C2         0402                 99.949mm      71.882mm      99.949mm      71.882mm     100.449mm      71.882mm  T        180.00 Capacitor      
C3         0402                 75.438mm      95.631mm      75.438mm      95.631mm      75.438mm      95.131mm  T         90.00 Capacitor      
C4         0402                 73.914mm      92.964mm      73.914mm      92.964mm      73.914mm      92.464mm  T         90.00 Capacitor      
C5         0402                 83.312mm      93.091mm      83.312mm      93.091mm      82.812mm      93.091mm  T          0.00 Capacitor      
C6         0402                 76.581mm      95.631mm      76.581mm      95.631mm      76.581mm      95.131mm  T         90.00 Capacitor      
C7         0402                  101.6mm      82.677mm       101.6mm      82.677mm       101.6mm      82.177mm  T         90.00 Capacitor      
C8         0402                 73.406mm      87.503mm      73.406mm      87.503mm      73.406mm      88.003mm  T        270.00 Capacitor      
C9         0402                 81.788mm      85.344mm      81.788mm      85.344mm      81.288mm      85.344mm  T        360.00 Capacitor      
C10        0402                 72.009mm      86.995mm      72.009mm      86.995mm      72.009mm      87.495mm  T        270.00 Capacitor      
C11        0402                102.743mm      82.677mm     102.743mm      82.677mm     102.743mm      82.177mm  T         90.00 Capacitor      
C12        0402                103.886mm      54.483mm     103.886mm      54.483mm     103.886mm      54.983mm  T        270.00 Capacitor      
C13        0402                106.172mm      57.912mm     106.172mm      57.912mm     106.172mm      57.412mm  T         90.00 Capacitor      
C14        0402                116.205mm      72.136mm     116.205mm      72.136mm     116.205mm      72.636mm  T        270.00 Capacitor      
C15        0402                115.062mm      72.136mm     115.062mm      72.136mm     115.062mm      72.636mm  T        270.00 Capacitor      
C16        0402                111.633mm      70.358mm     111.633mm      70.358mm     111.133mm      70.358mm  T        360.00 Capacitor      
C17        0402                 76.708mm      98.933mm      76.708mm      98.933mm      76.708mm      98.433mm  T         90.00 Capacitor      
C18        0402                129.159mm      72.263mm     129.159mm      72.263mm     129.159mm      72.763mm  T        270.00 Capacitor      
C19        0402                 69.723mm      92.202mm      69.723mm      92.202mm      69.223mm      92.202mm  T        360.00 Capacitor      
C20        0402                 69.723mm      90.678mm      69.723mm      90.678mm      69.223mm      90.678mm  T        360.00 Capacitor      
C21        0402                 74.422mm      86.487mm      74.422mm      86.487mm      74.422mm      86.987mm  T        270.00 Capacitor      
C22        0402                 90.424mm      91.821mm      90.424mm      91.821mm      90.424mm      92.321mm  T        270.00 Capacitor      
C23        0402                 83.312mm      98.933mm      83.312mm      98.933mm      83.312mm      99.433mm  T        270.00 Capacitor      
C24        0402                 82.042mm      98.933mm      82.042mm      98.933mm      82.042mm      99.433mm  T        270.00 Capacitor      
C25        0402                107.061mm       78.74mm     107.061mm       78.74mm     107.061mm       79.24mm  T        270.00 Capacitor      
C26        0402                 66.802mm      62.484mm      66.802mm      62.484mm      66.802mm      62.984mm  T        270.00 Capacitor      
D3         LED0603             129.032mm      84.836mm     129.032mm      84.836mm     128.357mm      84.836mm  T          0.00 Led            
D4         LED0603             129.032mm      82.804mm     129.032mm      82.804mm     128.357mm      82.804mm  T          0.00 Led            
